"id","binomial","reference","class","order","family","genus","common_name","location","country","all_countries","latitude","longitude","system","t_realm","t_biome","fw_realm","fw_biome","m_realm","m_ocean","m_biome","units","method","x1950","x1951","x1952","x1953","x1954","x1955","x1956","x1957","x1958","x1959","x1960","x1961","x1962","x1963","x1964","x1965","x1966","x1967","x1968","x1969","x1970","x1971","x1972","x1973","x1974","x1975","x1976","x1977","x1978","x1979","x1980","x1981","x1982","x1983","x1984","x1985","x1986","x1987","x1988","x1989","x1990","x1991","x1992","x1993","x1994","x1995","x1996","x1997","x1998","x1999","x2000","x2001","x2002","x2003","x2004","x2005","x2006","x2007","x2008","x2009","x2010","x2011","x2012","x2013","x2014","x2015"
266,"Accipiter_gentilis","{Baillie, 2002 #958}","Aves","Falconiformes","Accipitridae","Accipiter","Northern goshawk","All of the UK","United Kingdom","United Kingdom",54,-2,"Terrestrial","Palearctic","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL","Breeding pairs","Common bird census","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","25","NULL","NULL","NULL","NULL","25","NULL","NULL","NULL","NULL","50","NULL","NULL","NULL","NULL","75","NULL","NULL","NULL","NULL","175","NULL","NULL","NULL","NULL","300","NULL","NULL","NULL","NULL","269","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
268,"Alauda_arvensis","{NERC Centre for Population Biology, 1999 #524) with data taken from {Österlöf, 1982 #1639}","Aves","Passeriformes","Alaudidae","Alauda","Eurasian skylark","Sweden","Sweden","Sweden",63,17,"Terrestrial","Palearctic","Boreal forests/taiga","NULL","NULL","NULL","NULL","NULL","Number of skylarks per 100000 birds ringed","Ringing","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","35","115","168","146","72","214","216","129","110","68","180","252","252","135","164","146","167","114","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
269,"Alauda_arvensis","{NERC Centre for Population Biology, 1999 #524) with data taken from {Williamson, 1983 #959}","Aves","Passeriformes","Alaudidae","Alauda","Eurasian skylark","Skokholm Island","United Kingdom","United Kingdom",51.698949,-5.277271,"Terrestrial","Palearctic","Temperate grasslands, savannas and shrublands","NULL","NULL","NULL","NULL","NULL","Number of breeding pairs","Count - observation","9","10","10","12","14","15","18","14","16","27","25","25","25","NULL","30","40","48","38","40","45","45","38","NULL","NULL","38","NULL","NULL","NULL","23","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
276,"Anser_albifrons","{Mooij, 2000 #1023}","Aves","Anseriformes","Anatidae","Anser","Greater white-fronted goose / White-fronted goose","Germany","Germany","Germany",51.5,10.5,"Terrestrial","Palearctic","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL","Number of individuals","Count / census","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","75000","62500","37500","87500","37500","162500","212500","237500","250000","312500","262500","200000","212500","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
277,"Anser_albifrons","{WWT, 2005 #1008}","Aves","Anseriformes","Anatidae","Anser","Greater white-fronted goose / White-fronted goose","Great Britain, Ireland, Greenland","United Kingdom","United Kingdom, Greenland, Ireland",56.21639,-4.38222,"Terrestrial","Palearctic","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL","Total spring population count","Coordinated international spring counts","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","17000","17500","20000","23500","24700","25000","26000","26000","30000","30500","27500","30000","30100","35000","34000","33800","35500","30350","NULL","27000","29800","29000","24000","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
278,"Anser_brachyrhynchus","{Scott, 1996 #95}","Aves","Anseriformes","Anatidae","Anser","Pink-footed goose","E Greenland/Iceland","Greenland","Greenland",68.84611,-26.5925,"Terrestrial","Nearctic","Tundra","NULL","NULL","NULL","NULL","NULL","Number of individuals","Count / Estimate","30000","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","172000","NULL","NULL","NULL","NULL","NULL","NULL","225000","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
281,"Anser_fabalis","{Mooij, 2000 #1023}","Aves","Anseriformes","Anatidae","Anser","Bean goose","Germany","Germany","Germany",51.5,10.5,"Terrestrial","Palearctic","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL","Number of individuals","Count / census","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","125000","112500","62500","42500","62500","112500","112500","175000","187500","237500","212500","187500","175000","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
282,"Anthus_trivialis","{NERC Centre for Population Biology, 1999 #524) with data taken from {Österlöf, 1982 #1639}","Aves","Passeriformes","Motacillidae","Anthus","Tree pipit","Sweden","Sweden","Sweden",62,15,"Terrestrial","Palearctic","Boreal forests/taiga","NULL","NULL","NULL","NULL","NULL","Number of tree pipits per 100000 birds ringed","Ringing","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","209","353","467","469","814","1161","1318","556","579","754","612","582","638","702","613","556","581","622","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
286,"Aquila_chrysaetos","{Green, 1996 #996}","Aves","Falconiformes","Accipitridae","Aquila","Golden eagle","Britain","United Kingdom","United Kingdom",54,-4,"Terrestrial","Palearctic","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL","Number of breeding pairs","Surveys of known home rangesn with known nesting andl nesting sites","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","424","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","422","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
287,"Clanga_pomarina","{Birdlife International, 1999 #1002}","Aves","Falconiformes","Accipitridae","Clanga","Lesser spotted eagle","Federal Republic of Yugoslavia (Serbia and Montenegro)","Serbia","Serbia",43.75,20.75,"Terrestrial","Palearctic","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL","pairs","Unknown","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","33","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","25","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
